District,Tier,Tier_Label,Tier_Color,CASA_Pred_1yr,CASA_Pred_3yr,CASA_Pred_5yr,GW_Trend_m_per_yr,GW_Dep_Ratio,Recommended_Crop,Rec_Crop_Original,Primary_Transition_Crop,Secondary_Transition_Crop,Recommendation_Type,Recommendation_Text,GW_Severity,Current_Rice_pct,Target_Rice_pct,Current_Groundnut_pct,Target_Groundnut_pct,Current_Jowar_pct,Target_Jowar_pct,Current_Bajra_pct,Target_Bajra_pct,Current_Maize_pct,Target_Maize_pct
Kanniyakumari,2,Plan Now (within 3 years),#e67e22,5.5141597,4.948445393698556,4.38273110798427,-0.14563636363636018,0.2512003939754586,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 15% blended water saving. Target mix: Rice 100%→80%, Groundnut 0%→5%, Jowar 0%→7%, Bajra 0%→8%. Prioritise in Samba season. Coordinate with block agricultural officer.",Slow depletion,99.9,79.9,0.1,5.2,0.0,7.0,0.0,7.7,0.0,0.3
Karur,2,Plan Now (within 3 years),#e67e22,5.6012025,4.626916773659842,3.652631059374128,-0.41409090909088453,0.8969140792163949,Bajra,Bajra,Bajra,Groundnut,Switch,"Transition to Bajra and Groundnut — 10% blended water saving. Target mix: Rice 36%→29%, Bajra 1%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,36.0,28.8,8.1,9.4,52.8,52.8,0.6,6.2,2.4,2.7
Krishnagiri,2,Plan Now (within 3 years),#e67e22,6.3379617,4.248675959450859,2.1593902451651443,0.012545454545455997,0.8838969859912268,Jowar,Jowar,Jowar,Bajra,Switch,"Transition to Jowar and Bajra — 12% blended water saving. Target mix: Rice 61%→49%, Groundnut 27%→30%, Jowar 8%→13%, Bajra 1%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,60.9,48.7,26.8,29.7,8.4,13.1,1.4,5.8,2.4,2.6
Madurai,2,Plan Now (within 3 years),#e67e22,6.724132,5.193417775290353,3.662703489576067,0.0069090909091160555,0.6561978789690657,Jowar,Jowar,Jowar,Bajra,Switch,"Transition to Jowar and Bajra — 12% blended water saving. Target mix: Rice 64%→51%, Jowar 10%→15%, Bajra 0%→5%, Maize 23%→25%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,64.2,51.4,2.6,3.5,10.2,15.3,0.4,4.9,22.6,25.0
Mayiladuthurai,4,"Stable (canal-fed, low GW pressure)",#27ae60,1.8695053,2.530219571931021,3.190933857645307,-2.6432542602993796e-16,0.0,Rice,Rice,Rice,,Maintain,Maintain current crop mix — district is canal-fed with low groundwater pressure.,Moderate depletion,99.0,99.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Nagapattinam,4,"Stable (canal-fed, low GW pressure)",#27ae60,3.160557,2.826985603060041,2.4934141744886125,0.040999999999995235,0.0,Rice,Rice,Rice,,Maintain,Maintain current crop mix — district is canal-fed with low groundwater pressure.,Stable/recovering,98.3,98.3,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Namakkal,1,Act Now (within 1 year),#c0392b,9.767046,7.407760260445732,5.048474546160018,-0.28781818181815044,0.9045847121339027,Jowar,Bajra,Bajra,,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Stable/recovering,8.7,6.9,25.5,25.9,57.6,57.6,0.1,1.3,8.2,8.3
Perambalur,1,Act Now (within 1 year),#c0392b,8.647104,6.624961406162807,4.602818549019951,-0.0967272727272469,1.0,Maize,Maize,Maize,,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Slow depletion,9.9,7.9,3.1,3.2,0.1,0.8,0.2,0.9,86.7,87.1
Pudukkottai,2,Plan Now (within 3 years),#e67e22,6.418158,5.811015197208949,5.203872340066092,-0.07145454545453672,0.5337154530566764,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 14% blended water saving. Target mix: Rice 88%→70%, Groundnut 10%→14%, Jowar 0%→6%, Bajra 0%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",Moderate depletion,88.2,70.5,10.0,14.3,0.0,6.0,0.0,6.5,1.8,2.6
Ramanathapuram,3,Monitor (3-5 year horizon),#f1c40f,4.920556,4.202698925563268,3.484841782706124,-0.008636363636356661,0.1793598401114375,Jowar,Jowar,Jowar,Bajra,Advisory,"Consider transitioning toward Jowar (15% water saving potential). Suggested mix: Rice 94%→76%, Groundnut 2%→4%, Jowar 3%→12%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",Stable/recovering,94.4,75.5,1.6,4.1,3.2,12.5,0.5,7.3,0.3,0.6
Ranipet,2,Plan Now (within 3 years),#e67e22,5.330246,4.117388828822545,2.9045316859654022,-1.7950000000001487,0.9482203129794415,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 13% blended water saving. Target mix: Rice 81%→65%, Groundnut 19%→23%, Jowar 0%→6%, Bajra 0%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,81.2,64.9,18.6,22.7,0.1,5.7,0.2,6.4,0.0,0.2
Salem,1,Act Now (within 1 year),#c0392b,8.53322,6.663934576851981,4.794648862566266,-0.4142727272726775,0.9932239297844436,Jowar,Bajra,Bajra,,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Stable/recovering,16.0,12.8,14.9,15.6,36.8,36.8,0.4,2.2,31.8,32.7
Sivaganga,2,Plan Now (within 3 years),#e67e22,5.9223695,4.471655194418771,3.0209409087044863,-0.10509090909087732,0.28675754625121713,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 14% blended water saving. Target mix: Rice 98%→78%, Groundnut 2%→7%, Jowar 0%→7%, Bajra 0%→7%. Prioritise in Samba season. Coordinate with block agricultural officer.",Slow depletion,97.6,78.0,2.4,7.3,0.0,6.9,0.0,7.4,0.0,0.4
Thanjavur,3,Monitor (3-5 year horizon),#f1c40f,3.6061983,3.390484025137765,3.1747697394234797,-0.16081818181816415,0.3644808834415928,Bajra,Bajra,Bajra,Jowar,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 96%→77%, Groundnut 3%→8%, Jowar 0%→6%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",Slow depletion,96.2,77.0,3.3,8.1,0.0,6.5,0.0,7.2,0.4,1.2
The nilgiris,3,Monitor (3-5 year horizon),#f1c40f,2.459411,2.1679823344094413,1.87655376298087,-0.026090909090912273,0.9857308137292711,Bajra,Bajra,Bajra,Jowar,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 95%→76%, Jowar 0%→6%, Bajra 1%→9%, Maize 4%→8%. Advisory for Tier 3 districts — monitor GW trend before committing.",Stable/recovering,94.8,75.8,0.0,1.1,0.0,6.3,1.0,8.8,4.2,7.9
Theni,1,Act Now (within 1 year),#c0392b,9.960292,8.483863291059222,7.00743471963065,-0.37872727272721385,0.7688032898810753,Jowar,Jowar,Jowar,Bajra,Switch,"Transition to Jowar and Bajra — 10% blended water saving. Target mix: Rice 46%→36%, Jowar 25%→29%, Bajra 4%→7%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,45.5,36.4,6.0,6.6,25.2,29.4,3.8,6.8,19.6,20.8
Thenkasi,2,Plan Now (within 3 years),#e67e22,5.355715,4.141429083687918,2.9271433694022044,-2.1450000000000764,0.5560810608555093,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 12% blended water saving. Target mix: Rice 64%→51%, Jowar 5%→10%, Bajra 0%→5%, Maize 30%→32%. Prioritise in Samba season. Coordinate with block agricultural officer.",Slow depletion,64.1,51.3,1.1,1.9,5.1,9.8,0.0,4.8,29.7,32.2
Thiruvallur,3,Monitor (3-5 year horizon),#f1c40f,4.862099,4.127099170684815,3.3920991706848147,0.03009090909090991,0.8872451299269052,Bajra,Bajra,Bajra,Jowar,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 94%→75%, Groundnut 6%→10%, Jowar 0%→6%, Bajra 0%→8%. Advisory for Tier 3 districts — monitor GW trend before committing.",Stable/recovering,94.1,75.3,5.6,10.3,0.0,6.5,0.2,7.6,0.0,0.3
Thiruvarur,4,"Stable (canal-fed, low GW pressure)",#27ae60,3.547477,2.820334149769374,2.093191292626517,0.1502727272727169,0.0,Rice,Rice,Rice,,Maintain,Maintain current crop mix — district is canal-fed with low groundwater pressure.,Stable/recovering,98.8,98.8,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Thoothukudi,2,Plan Now (within 3 years),#e67e22,5.630916,4.90520183290754,4.179487547193255,-0.13245454545452637,0.512035243226029,Maize,Jowar,Jowar,Maize,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Stable/recovering,15.9,12.7,1.0,1.3,10.2,12.1,11.1,11.1,61.9,62.9
Tiruchirappalli,1,Act Now (within 1 year),#c0392b,8.415247,6.645961249215263,4.876675534929549,-0.18272727272724157,0.745566833802128,Jowar,Jowar,Jowar,Bajra,Switch,"Transition to Jowar and Bajra — 11% blended water saving. Target mix: Rice 56%→45%, Jowar 23%→28%, Bajra 0%→4%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,55.8,44.7,5.8,6.8,23.3,28.4,0.0,3.7,15.1,16.4
Tirunelveli,2,Plan Now (within 3 years),#e67e22,5.847971,5.420113819667272,4.992256676810128,-0.1567272727272523,0.4650698958240584,Jowar,Jowar,Jowar,Bajra,Switch,"Transition to Jowar and Bajra — 14% blended water saving. Target mix: Rice 97%→78%, Groundnut 1%→4%, Jowar 0%→7%, Bajra 0%→6%, Maize 1%→5%. Prioritise in Samba season. Coordinate with block agricultural officer.",Slow depletion,97.2,77.8,0.9,3.8,0.4,7.2,0.0,6.4,1.4,4.8
Tirupathur,2,Plan Now (within 3 years),#e67e22,6.764424,5.063709561484201,3.362995275769915,-2.9500000000004634,1.0,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 9% blended water saving. Target mix: Rice 34%→28%, Jowar 10%→12%, Bajra 5%→8%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,34.5,27.6,46.8,48.5,9.7,12.2,5.0,7.6,3.9,4.0
Tiruppur,1,Act Now (within 1 year),#c0392b,8.269832,6.988403085981096,5.706974514552524,-0.2327727272726841,0.7661290322580645,Jowar,Bajra,Bajra,,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,Stable/recovering,14.4,11.5,11.0,11.5,46.0,46.0,0.2,1.9,28.5,29.1
Tiruvannamalai,2,Plan Now (within 3 years),#e67e22,6.4905457,4.792688606807165,3.0948314639500216,-0.0979090909090771,0.9436353857997026,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 12% blended water saving. Target mix: Rice 70%→56%, Groundnut 28%→31%, Jowar 0%→5%, Bajra 1%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,70.1,56.1,27.9,31.4,0.0,4.8,0.9,6.3,1.1,1.4
Vellore,2,Plan Now (within 3 years),#e67e22,7.049131,5.476273773738317,3.903416630881174,-0.25981818181815197,0.9996809044080777,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 8% blended water saving. Target mix: Rice 34%→27%, Jowar 9%→12%, Bajra 1%→3%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,34.2,27.3,54.1,55.8,9.3,11.8,0.9,3.4,1.6,1.7
Villupuram,2,Plan Now (within 3 years),#e67e22,6.2637,4.448700008392334,2.6337000083923336,-0.09563636363634902,0.848919242304166,Bajra,Bajra,Bajra,Jowar,Switch,"Transition to Bajra and Jowar — 13% blended water saving. Target mix: Rice 72%→58%, Groundnut 20%→24%, Jowar 0%→5%, Bajra 7%→13%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,72.5,58.0,20.4,23.9,0.0,4.8,6.6,12.7,0.4,0.7
Virudhunagar,2,Plan Now (within 3 years),#e67e22,7.4102325,5.101661115373885,2.793089686802457,-0.06209090909088769,0.5491770090661033,Jowar,Jowar,Jowar,Bajra,Switch,"Transition to Jowar and Bajra — 8% blended water saving. Target mix: Rice 35%→28%, Jowar 15%→18%, Bajra 2%→4%. Prioritise in Samba season. Coordinate with block agricultural officer.",Stable/recovering,34.9,27.9,4.6,5.1,15.2,17.9,1.8,4.3,43.5,44.8
