District,GW_May,CASA_Pred_1yr,CASA_Pred_3yr,CASA_Pred_5yr,GW_Trend_m_per_yr,GW_Dep_Ratio,Canal_Dep_Ratio,SW_Monsoon_Actual_mm,SW_Monsoon_Normal_mm,NE_Monsoon_Actual_mm,NE_Monsoon_Normal_mm,Annual_Actual_mm,Annual_Normal_mm,Recommended_Crop,Primary_Transition_Crop,Secondary_Transition_Crop,Potential_Water_Saving_pct,Current_Water_Req_Lkg,Recommended_Water_Req_Lkg,Current_Water_Burden_Lkg,Target_Water_Burden_Lkg,Leading_Current_Crop,GW_Severity,Current_Rice_pct,Current_Groundnut_pct,Current_Jowar_pct,Current_Bajra_pct,Current_Maize_pct,Target_Rice_pct,Target_Groundnut_pct,Target_Jowar_pct,Target_Bajra_pct,Target_Maize_pct,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,Tier,Tier_Label,Tier_Color,Feasibility_Score,Feasibility_Label,Rec_Crop_Original,Recommendation_Type,Recommendation_Text,Flood_Risk,Flood_Actions,Drought_Fallback_Crop,Drought_Risk,Drought_Actions,Policy_Narrative,SHAP_Top_Driver,SHAP_Top_Value,SHAP_Top_Driver_Label
Kanniyakumari,4.86,5.5141597,4.948445393698556,4.38273110798427,-0.14563636363636018,0.2512003939754586,0.3257684573398449,330.4,494.7,1050.9,532.6,1635.9,1338.3,Bajra,Bajra,Jowar,14.6,2500,400,2498.0,2132.0,Rice,Slow depletion,99.9,0.1,0.0,0.0,0.0,79.9,5.2,7.0,7.7,0.3,0.99865891819401,0.0013410818059901,0.0,0.0,0.0,2,Plan Now (within 3 years),#e67e22,32.1,Low,Bajra,Switch,"Transition to Bajra and Jowar — 15% blended water saving. Target mix: Rice 100%→80%, Groundnut 0%→5%, Jowar 0%→7%, Bajra 0%→8%. Prioritise in Samba season. Coordinate with block agricultural officer.",MEDIUM,Delay Samba sowing by 2 weeks as precaution; NE monsoon 97% above normal. Monitor taluk-level waterlogging reports from October 10. Preferred variety: medium-duration rice (ADT-36).,Rice,MEDIUM,SW monsoon 33% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.5m.,Kanniyakumari is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.51m in 2026 and 4.38m by 2028. The water table is currently recovering at 0.15 metres per year. The district is 25% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 15% per kilogram of output.,LSTM_Memory,0.0718160770657931,cumulative seasonal depletion memory
Karur,4.31,5.6012025,4.626916773659842,3.652631059374128,-0.41409090909088453,0.8969140792163949,0.10308592078360515,227.3,201.6,181.4,313.2,549.6,636.2,Bajra,Bajra,Groundnut,10.2,700,400,1383.0,1242.0,Jowar,Stable/recovering,36.0,8.1,52.8,0.6,2.4,28.8,9.4,52.8,6.2,2.7,0.3600911868846098,0.0807828491051074,0.528423145947519,0.0064509870495222,0.0242518310132415,2,Plan Now (within 3 years),#e67e22,30.0,Low,Bajra,Switch,"Transition to Bajra and Groundnut — 10% blended water saving. Target mix: Rice 36%→29%, Bajra 1%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,MEDIUM,SW monsoon -13% below normal. Recommend switching to Jowar for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.6m.,Karur is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.60m in 2026 and 3.65m by 2028. The water table is currently recovering at 0.41 metres per year. The district is 90% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 10% per kilogram of output.,LSTM_Memory,-0.0328921377441796,cumulative seasonal depletion memory
Krishnagiri,6.62,6.3379617,4.248675959450859,2.1593902451651443,0.012545454545455997,0.8838969859912268,0.008009056176595444,368.5,356.2,139.0,278.7,734.4,795.6,Jowar,Jowar,Bajra,11.8,2500,700,1885.0,1662.0,Rice,Stable/recovering,60.9,26.8,8.4,1.4,2.4,48.7,29.7,13.1,5.8,2.6,0.6092778766014431,0.2682229728379269,0.0844842404013351,0.0141706473727339,0.0238442627865608,2,Plan Now (within 3 years),#e67e22,34.4,Low,Jowar,Switch,"Transition to Jowar and Bajra — 12% blended water saving. Target mix: Rice 61%→49%, Groundnut 27%→30%, Jowar 8%→13%, Bajra 1%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon -3% below normal with GW at 6.3m and 88% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Krishnagiri is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.34m in 2026 and 2.16m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 88% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; non-linear depletion variability is moderating depletion; cumulative seasonal depletion memory is moderating depletion. Recommended transition to Jowar could reduce water consumption by 12% per kilogram of output.,ARIMA_Fitted,0.044384111007471,long-term structural decline trend
Madurai,5.79,6.724132,5.193417775290353,3.662703489576067,0.0069090909091160555,0.6561978789690657,0.14773263681278911,306.8,296.1,475.5,370.0,993.9,827.4,Jowar,Jowar,Bajra,11.6,2500,700,1975.0,1745.0,Rice,Stable/recovering,64.2,2.6,10.2,0.4,22.6,51.4,3.5,15.3,4.9,25.0,0.6418780249569235,0.0258458904485441,0.1021982725506766,0.003918039443792,0.2261597726000636,2,Plan Now (within 3 years),#e67e22,38.1,Low,Jowar,Switch,"Transition to Jowar and Bajra — 12% blended water saving. Target mix: Rice 64%→51%, Jowar 10%→15%, Bajra 0%→5%, Maize 23%→25%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon -4% below normal with GW at 6.7m and 66% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Madurai is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.72m in 2026 and 3.66m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 66% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; Groundnut cultivation share is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 12% per kilogram of output.,LSTM_Memory,-0.0377785023703754,cumulative seasonal depletion memory
Mayiladuthurai,1.66,1.8695053,2.530219571931021,3.190933857645307,-2.6432542602993796e-16,0.0,1.0,196.5,304.7,752.5,888.1,1216.3,1332.2,Rice,Rice,,0.0,2500,2500,2485.0,2485.0,Rice,Moderate depletion,99.0,0.9,0.0,0.0,0.0,99.0,0.9,0.0,0.0,0.0,0.9902589556261968,0.0094529027940438,0.0001022437863662,0.0,0.0001858977933931,4,"Stable (canal-fed, low GW pressure)",#27ae60,51.1,Medium,Rice,Maintain,Maintain current crop mix — district is canal-fed with low groundwater pressure.,MEDIUM,Delay Samba sowing by 2 weeks as precaution; NE monsoon -15% above normal. Monitor taluk-level waterlogging reports from October 10. Preferred variety: medium-duration rice (ADT-36).,Rice,MEDIUM,SW monsoon 36% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 2.9m.,"Mayiladuthurai is classified as Tier 4 (Stable (canal-fed, low GW pressure)). The predicted groundwater depth is 1.87m in 2026 and 3.19m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 0% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Rice could reduce water consumption by 0% per kilogram of output.",ARIMA_Fitted,-0.0363409167661008,long-term structural decline trend
Nagapattinam,3.13,3.160557,2.826985603060041,2.4934141744886125,0.040999999999995235,0.0,0.977247458703939,157.7,246.6,969.0,935.3,1480.3,1336.9,Rice,Rice,,0.0,2500,2500,2474.0,2474.0,Rice,Stable/recovering,98.3,1.7,0.0,0.0,0.0,98.3,1.7,0.0,0.0,0.0,0.982636858966864,0.0173163716296798,0.0,4.676940345625891e-05,0.0,4,"Stable (canal-fed, low GW pressure)",#27ae60,53.1,Medium,Rice,Maintain,Maintain current crop mix — district is canal-fed with low groundwater pressure.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Rice,MEDIUM,SW monsoon 36% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 4.2m.,"Nagapattinam is classified as Tier 4 (Stable (canal-fed, low GW pressure)). The predicted groundwater depth is 3.16m in 2026 and 2.49m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 0% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; Maize cultivation share is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Rice could reduce water consumption by 0% per kilogram of output.",ARIMA_Fitted,-0.0488511386121259,long-term structural decline trend
Namakkal,8.05,9.767046,7.407760260445732,5.048474546160018,-0.28781818181815044,0.9045847121339027,0.07308901673783795,298.8,331.8,230.5,270.4,731.8,758.5,Jowar,Bajra,,3.4,700,400,973.0,940.0,Jowar,Stable/recovering,8.7,25.5,57.6,0.1,8.2,6.9,25.9,57.6,1.3,8.3,0.0865500953012347,0.2545951769288141,0.5757769122399934,0.0009695864755117,0.082108229054446,1,Act Now (within 1 year),#c0392b,30.6,Low,Bajra,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon 10% below normal with GW at 9.8m and 90% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Namakkal is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 9.77m in 2026 and 5.05m by 2028. The water table is currently recovering at 0.29 metres per year. The district is 90% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is driving depletion upward; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 3% per kilogram of output.,ARIMA_Fitted,0.1030006767456148,long-term structural decline trend
Perambalur,5.01,8.647104,6.624961406162807,4.602818549019951,-0.0967272727272469,1.0,0.0,297.4,277.8,232.5,432.0,752.4,816.0,Maize,Maize,,2.7,1200,1200,1320.0,1285.0,Maize,Slow depletion,9.9,3.1,0.1,0.2,86.7,7.9,3.2,0.8,0.9,87.1,0.0987826178312999,0.0309926852009928,0.000958672042234,0.0019042115907389,0.8673618133347342,1,Act Now (within 1 year),#c0392b,54.5,Medium,Maize,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,HIGH,SW monsoon -7% below normal with GW at 8.6m and 100% groundwater dependency. Mandatory switch to Groundnut for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Perambalur is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 8.65m in 2026 and 4.60m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 100% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; Bajra cultivation share is moderating depletion. Recommended transition to Maize could reduce water consumption by 3% per kilogram of output.,LSTM_Memory,-0.0303770771313961,cumulative seasonal depletion memory
Pudukkottai,4.24,6.418158,5.811015197208949,5.203872340066092,-0.07145454545453672,0.5337154530566764,0.007723995880535531,298.6,294.8,308.9,385.6,795.3,787.7,Bajra,Bajra,Jowar,13.8,2500,400,2326.0,2006.0,Rice,Moderate depletion,88.2,10.0,0.0,0.0,1.8,70.5,14.3,6.0,6.5,2.6,0.8816435869916145,0.0997792378908056,0.0004624660785494,6.108042546879227e-05,0.0180536286135616,2,Plan Now (within 3 years),#e67e22,33.4,Low,Bajra,Switch,"Transition to Bajra and Jowar — 14% blended water saving. Target mix: Rice 88%→70%, Groundnut 10%→14%, Jowar 0%→6%, Bajra 0%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,MEDIUM,SW monsoon -1% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 7.4m.,Pudukkottai is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 6.42m in 2026 and 5.20m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 53% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,ARIMA_Fitted,-0.018900922793887,long-term structural decline trend
Ramanathapuram,4.08,4.920556,4.202698925563268,3.484841782706124,-0.008636363636356661,0.1793598401114375,0.0,93.0,132.1,667.6,531.4,975.7,817.8,Jowar,Jowar,Bajra,14.6,2500,700,2404.0,2053.0,Rice,Stable/recovering,94.4,1.6,3.2,0.5,0.3,75.5,4.1,12.5,7.3,0.6,0.9442253718776312,0.0157170923379174,0.0322130227336514,0.0046800449059781,0.0031644681448217,3,Monitor (3-5 year horizon),#f1c40f,32.7,Low,Jowar,Advisory,"Consider transitioning toward Jowar (15% water saving potential). Suggested mix: Rice 94%→76%, Groundnut 2%→4%, Jowar 3%→12%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Jowar.,Ramanathapuram is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.92m in 2026 and 3.48m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 18% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 15% per kilogram of output.,LSTM_Memory,-0.017855852780932,cumulative seasonal depletion memory
Ranipet,4.45,5.330246,4.117388828822545,2.9045316859654022,-1.7950000000001487,0.9482203129794415,0.0,582.8,441.7,351.3,406.0,1208.4,944.7,Bajra,Bajra,Jowar,13.4,2500,400,2216.0,1919.0,Rice,Stable/recovering,81.2,18.6,0.1,0.2,0.0,64.9,22.7,5.7,6.4,0.2,0.8117320723806687,0.1860711892173654,0.000614342095465,0.0015451634522302,3.723285427060839e-05,2,Plan Now (within 3 years),#e67e22,29.0,Low,Bajra,Switch,"Transition to Bajra and Jowar — 13% blended water saving. Target mix: Rice 81%→65%, Groundnut 19%→23%, Jowar 0%→6%, Bajra 0%→6%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,MEDIUM,SW monsoon -32% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.3m.,Ranipet is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.33m in 2026 and 2.90m by 2028. The water table is currently recovering at 1.80 metres per year. The district is 95% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 13% per kilogram of output.,ARIMA_Fitted,-0.0365669875968923,long-term structural decline trend
Salem,5.17,8.53322,6.663934576851981,4.794648862566266,-0.4142727272726775,0.9932239297844436,0.006776070215556378,379.6,406.4,229.3,331.7,837.5,912.5,Jowar,Bajra,,4.8,700,400,1191.0,1134.0,Jowar,Stable/recovering,16.0,14.9,36.8,0.4,31.8,12.8,15.6,36.8,2.2,32.7,0.160239247701824,0.1492528455177325,0.3679785283760435,0.0040621991268909,0.3184671792775089,1,Act Now (within 1 year),#c0392b,30.7,Low,Bajra,Maintain,Maintain current crop mix — water saving from any transition is below 10% and does not justify agricultural disruption at this time.,LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,HIGH,SW monsoon 7% below normal with GW at 8.5m and 99% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Salem is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 8.53m in 2026 and 4.79m by 2028. The water table is currently recovering at 0.41 metres per year. The district is 99% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 5% per kilogram of output.,LSTM_Memory,-0.0331002897198864,cumulative seasonal depletion memory
Sivaganga,4.34,5.9223695,4.471655194418771,3.0209409087044863,-0.10509090909087732,0.28675754625121713,9.466623390674024e-05,335.3,316.7,440.2,422.7,987.0,895.9,Bajra,Bajra,Jowar,14.5,2500,400,2463.0,2106.0,Rice,Slow depletion,97.6,2.4,0.0,0.0,0.0,78.0,7.3,6.9,7.4,0.4,0.9755017464922148,0.0235154816174294,0.0004854656325854,3.5521875555029304e-05,0.0004617843822153,2,Plan Now (within 3 years),#e67e22,29.4,Low,Bajra,Switch,"Transition to Bajra and Jowar — 14% blended water saving. Target mix: Rice 98%→78%, Groundnut 2%→7%, Jowar 0%→7%, Bajra 0%→7%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Sivaganga is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.92m in 2026 and 3.02m by 2028. The water table is currently recovering at 0.11 metres per year. The district is 29% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,LSTM_Memory,-0.0302654772909032,cumulative seasonal depletion memory
Thanjavur,3.07,3.6061983,3.390484025137765,3.1747697394234797,-0.16081818181816415,0.3644808834415928,0.6355191165584072,322.4,302.8,345.5,579.4,915.8,1017.3,Bajra,Bajra,Jowar,14.3,2500,400,2444.0,2094.0,Rice,Slow depletion,96.2,3.3,0.0,0.0,0.4,77.0,8.1,6.5,7.2,1.2,0.9623927180370064,0.0332819118562016,4.26144838107576e-06,8.52289676215152e-06,0.0043125857616486,3,Monitor (3-5 year horizon),#f1c40f,14.7,Low,Bajra,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 96%→77%, Groundnut 3%→8%, Jowar 0%→6%, Bajra 0%→7%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Thanjavur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 3.61m in 2026 and 3.17m by 2028. The water table is currently recovering at 0.16 metres per year. The district is 36% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,ARIMA_Fitted,-0.0416371698969546,long-term structural decline trend
The nilgiris,2.49,2.459411,2.1679823344094413,1.87655376298087,-0.026090909090912273,0.9857308137292711,0.0,773.0,842.4,502.5,501.3,1608.7,1595.7,Bajra,Bajra,Jowar,14.1,2500,400,2424.0,2081.0,Rice,Stable/recovering,94.8,0.0,0.0,1.0,4.2,75.8,1.1,6.3,8.8,7.9,0.9479166666666666,0.0,0.0,0.0104166666666666,0.0416666666666666,3,Monitor (3-5 year horizon),#f1c40f,27.9,Low,Bajra,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 95%→76%, Jowar 0%→6%, Bajra 1%→9%, Maize 4%→8%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Maize,MEDIUM,SW monsoon 8% below normal. Recommend switching to Maize for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 3.5m.,The nilgiris is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 2.46m in 2026 and 1.88m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 99% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; long-term structural decline trend is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,LSTM_Memory,0.1158933899820858,cumulative seasonal depletion memory
Theni,8.2,9.960292,8.483863291059222,7.00743471963065,-0.37872727272721385,0.7688032898810753,0.17402073641256888,253.0,237.9,537.6,364.3,1094.5,802.7,Jowar,Jowar,Bajra,10.1,2500,700,1623.0,1458.0,Rice,Stable/recovering,45.5,6.0,25.2,3.8,19.6,36.4,6.6,29.4,6.8,20.8,0.4547133646976825,0.0597316605680432,0.2522042167625021,0.0376023697508276,0.1957483882209444,1,Act Now (within 1 year),#c0392b,54.9,Medium,Jowar,Switch,"Transition to Jowar and Bajra — 10% blended water saving. Target mix: Rice 46%→36%, Jowar 25%→29%, Bajra 4%→7%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Bajra,HIGH,SW monsoon -6% below normal with GW at 10.0m and 77% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Theni is classified as Tier 1 (Act Now (within 1 year)). The predicted groundwater depth is 9.96m in 2026 and 7.01m by 2028. The water table is currently recovering at 0.38 metres per year. The district is 77% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is moderating depletion; long-term structural decline trend is driving depletion upward; seasonal groundwater volatility is driving depletion upward. Recommended transition to Jowar could reduce water consumption by 10% per kilogram of output.,LSTM_Memory,-0.0724654764168399,cumulative seasonal depletion memory
Thenkasi,4.55,5.355715,4.141429083687918,2.9271433694022044,-2.1450000000000764,0.5560810608555093,0.07513395396174455,172.6,172.7,821.4,465.7,1280.3,872.5,Bajra,Bajra,Jowar,11.5,2500,400,2005.0,1776.0,Rice,Slow depletion,64.1,1.1,5.1,0.0,29.7,51.3,1.9,9.8,4.8,32.2,0.6410670108637195,0.0107203040407299,0.0508586999390484,0.0004661001756839,0.2968878849808182,2,Plan Now (within 3 years),#e67e22,28.5,Low,Bajra,Switch,"Transition to Bajra and Jowar — 12% blended water saving. Target mix: Rice 64%→51%, Jowar 5%→10%, Bajra 0%→5%, Maize 30%→32%. Prioritise in Samba season. Coordinate with block agricultural officer.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Jowar,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Jowar.,Thenkasi is classified as Tier 2 (Plan Now (within 3 years)). The predicted groundwater depth is 5.36m in 2026 and 2.93m by 2028. The water table is currently recovering at 2.15 metres per year. The district is 56% groundwater-dependent for irrigation. Primary SHAP analysis indicates: cumulative seasonal depletion memory is driving depletion upward; seasonal groundwater volatility is driving depletion upward; Rice cultivation expansion is moderating depletion. Recommended transition to Bajra could reduce water consumption by 12% per kilogram of output.,LSTM_Memory,0.0418783761560916,cumulative seasonal depletion memory
Thiruvallur,3.8,4.862099,4.127099170684815,3.3920991706848147,0.03009090909090991,0.8872451299269052,0.00016321010970050945,736.3,463.7,754.5,623.9,1665.2,1182.1,Bajra,Bajra,Jowar,14.3,2500,400,2411.0,2065.0,Rice,Stable/recovering,94.1,5.6,0.0,0.2,0.0,75.3,10.3,6.5,7.6,0.3,0.9413808438490188,0.0560157133062797,0.0,0.0024644690273685,0.0001389738173328,3,Monitor (3-5 year horizon),#f1c40f,32.7,Low,Bajra,Advisory,"Consider transitioning toward Bajra (14% water saving potential). Suggested mix: Rice 94%→75%, Groundnut 6%→10%, Jowar 0%→6%, Bajra 0%→8%. Advisory for Tier 3 districts — monitor GW trend before committing.",LOW,Proceed with standard Samba sowing calendar. Monitor NE monsoon progress weekly from October 1.,Groundnut,MEDIUM,SW monsoon -59% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 5.9m.,Thiruvallur is classified as Tier 3 (Monitor (3-5 year horizon)). The predicted groundwater depth is 4.86m in 2026 and 3.39m by 2028. The water table is currently broadly stable with minor year-on-year fluctuations. The district is 89% groundwater-dependent for irrigation. Primary SHAP analysis indicates: long-term structural decline trend is moderating depletion; cumulative seasonal depletion memory is moderating depletion; seasonal groundwater volatility is driving depletion upward. Recommended transition to Bajra could reduce water consumption by 14% per kilogram of output.,ARIMA_Fitted,-0.0374267551898753,long-term structural decline trend
